Problem, Algorithm, Fitness Score
TTP, Evolutionary, 10850
KNP, Evolutionary, 15584
TTP, Greedy, -13703
TSP, Evolutionary, 14573
KNP, Greedy, 21440
TTP, Random, 12406
TSP, Greedy, 7310
TSP, Random, 23680
KNP, Random, 16655
TTP, Evolutionary, 12177
KNP, Evolutionary, 15506
TTP, Greedy, -13703
TSP, Evolutionary, 12473
KNP, Greedy, 21440
TTP, Random, 13022
TSP, Greedy, 7310
TSP, Random, 23799
KNP, Random, 16513
TTP, Evolutionary, 11430
KNP, Evolutionary, 15493
TSP, Evolutionary, 13646
KNP, Greedy, 21440
TTP, Greedy, -13703
TTP, Random, 12558
TSP, Greedy, 7310
TSP, Random, 22536
KNP, Random, 16557
TTP, Evolutionary, 10192
KNP, Evolutionary, 15294
TTP, Greedy, -13703
TSP, Evolutionary, 13434
KNP, Greedy, 21440
TTP, Random, 12602
TSP, Greedy, 7310
TSP, Random, 23788
KNP, Random, 16645
TTP, Evolutionary, 10333
KNP, Evolutionary, 15854
TSP, Evolutionary, 13978
TTP, Greedy, -13703
KNP, Greedy, 21440
TTP, Random, 13553
TSP, Greedy, 7310
TSP, Random, 22698
KNP, Random, 16852
TTP, Evolutionary, 11077
KNP, Evolutionary, 15805
TSP, Evolutionary, 15051
TTP, Greedy, -13703
KNP, Greedy, 21440
TTP, Random, 11672
TSP, Greedy, 7310
TSP, Random, 23521
KNP, Random, 16421
TTP, Evolutionary, 10442
KNP, Evolutionary, 15794
TSP, Evolutionary, 13184
TTP, Greedy, -13703
KNP, Greedy, 21440
TTP, Random, 12507
TSP, Greedy, 7310
TSP, Random, 23270
KNP, Random, 16702
TTP, Evolutionary, 11314
KNP, Evolutionary, 14933
TTP, Greedy, -13703
TSP, Evolutionary, 13213
KNP, Greedy, 21440
TTP, Random, 12972
TSP, Greedy, 7310
TSP, Random, 22944
KNP, Random, 16922
TTP, Evolutionary, 10697
KNP, Evolutionary, 15560
TSP, Evolutionary, 13984
KNP, Greedy, 21440
TTP, Greedy, -13703
TTP, Random, 11733
TSP, Greedy, 7310
TSP, Random, 22909
KNP, Random, 16835
TTP, Evolutionary, 7305
KNP, Evolutionary, 15218
TSP, Evolutionary, 13431
TTP, Greedy, -13703
KNP, Greedy, 21440
TTP, Random, 12039
TSP, Greedy, 7310
TSP, Random, 22854
KNP, Random, 16390
